No,MAE,channels,modelbody
1,0.708797418,0:1 1:1 2:1 3:2 4:1 5:2 6:3 7:6 8:8 9:11 ,from:0 to:1 operator:-1  from:0 to:7 operator:7  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:8  from:1 to:4 operator:8  from:1 to:9 operator:13  from:2 to:3 operator:-1  from:2 to:8 operator:11  from:2 to:9 operator:11  from:3 to:5 operator:3  from:3 to:6 operator:6  from:3 to:7 operator:12  from:4 to:5 operator:-1  from:4 to:8 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:11  from:7 to:8 operator:5  from:8 to:9 operator:-1  
2,0.626603399,0:1 1:1 2:1 3:2 4:3 5:5 6:6 7:7 8:8 9:11 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:8  from:1 to:4 operator:8  from:1 to:5 operator:1  from:1 to:9 operator:13  from:2 to:3 operator:-1  from:2 to:9 operator:11  from:3 to:4 operator:-1  from:3 to:5 operator:3  from:3 to:6 operator:6  from:3 to:7 operator:6  from:4 to:5 operator:-1  from:4 to:8 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:5  from:8 to:9 operator:-1  
3,0.578078176,0:1 1:1 2:1 3:2 4:3 5:4 6:5 7:6 8:7 9:10 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:8  from:1 to:4 operator:8  from:1 to:9 operator:13  from:2 to:3 operator:-1  from:2 to:9 operator:11  from:3 to:4 operator:-1  from:3 to:5 operator:3  from:3 to:6 operator:6  from:3 to:7 operator:6  from:4 to:5 operator:-1  from:4 to:8 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:5  from:8 to:9 operator:-1  
