No,MAE,channels,modelbody
1,0.774008891,0:1 1:1 2:2 3:2 4:2 5:2 6:4 7:6 8:12 9:18 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:12  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:4 to:8 operator:13  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:13  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
2,0.344325492,0:1 1:1 2:2 3:2 4:2 5:2 6:4 7:6 8:10 9:16 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:12  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:13  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
